Date,Open,High,Low,Close,Adj Close,Volume
2021-11-18,1950.0,1955.0,1560.0,1560.800048828125,1560.800048828125,23955434
2021-11-22,1509.0,1519.0,1271.0,1359.5999755859375,1359.5999755859375,25114710
2021-11-23,1360.0,1525.0,1360.0,1494.699951171875,1494.699951171875,12954174
2021-11-24,1503.0,1785.0,1502.949951171875,1752.449951171875,1752.449951171875,21541021
2021-11-25,1766.699951171875,1873.699951171875,1711.0999755859375,1798.75,1798.75,13018344
2021-11-26,1760.0,1832.0,1663.0,1782.5999755859375,1782.5999755859375,6527364
2021-11-29,1700.0,1810.0,1700.0,1736.449951171875,1736.449951171875,4564112
2021-11-30,1729.949951171875,1770.0,1678.199951171875,1699.5999755859375,1699.5999755859375,2200149
2021-12-01,1715.0,1725.0,1629.1500244140625,1636.699951171875,1636.699951171875,1294466
2021-12-02,1642.0,1671.6500244140625,1592.0,1600.8499755859375,1600.8499755859375,1089716
2021-12-03,1615.0,1698.0,1601.0,1648.3499755859375,1648.3499755859375,1322036
2021-12-06,1658.0,1680.050048828125,1598.699951171875,1604.449951171875,1604.449951171875,632800
2021-12-07,1623.3499755859375,1635.0,1571.0,1577.5,1577.5,631249
2021-12-08,1590.25,1610.0,1546.25,1553.4000244140625,1553.4000244140625,726491
2021-12-09,1550.0,1644.699951171875,1525.0999755859375,1593.949951171875,1593.949951171875,2849040
2021-12-10,1605.0,1609.0,1563.0,1567.550048828125,1567.550048828125,845711
2021-12-13,1578.0,1578.75,1546.0999755859375,1555.050048828125,1555.050048828125,740610
2021-12-14,1547.0,1555.050048828125,1490.75,1496.050048828125,1496.050048828125,1386088
2021-12-15,1421.300048828125,1429.949951171875,1296.0,1379.949951171875,1379.949951171875,13139593
2021-12-16,1435.0,1435.0,1390.550048828125,1399.3499755859375,1399.3499755859375,2323522
2021-12-17,1411.0,1411.0,1307.0,1321.0,1321.0,2503637
2021-12-20,1321.0,1327.5999755859375,1290.0,1304.0,1304.0,1740923
2021-12-21,1306.0,1348.949951171875,1306.0,1311.449951171875,1311.449951171875,995207
2021-12-22,1348.0999755859375,1350.0,1330.550048828125,1342.199951171875,1342.199951171875,966463
2021-12-23,1358.449951171875,1385.0,1344.0,1348.800048828125,1348.800048828125,1268283
2021-12-24,1348.699951171875,1381.0,1331.1500244140625,1369.550048828125,1369.550048828125,1340599
2021-12-27,1365.0,1365.3499755859375,1335.300048828125,1344.949951171875,1344.949951171875,717268
2021-12-28,1350.0,1364.199951171875,1345.0,1353.5,1353.5,1112292
2021-12-29,1353.5,1379.1500244140625,1340.0,1341.550048828125,1341.550048828125,1096725
2021-12-30,1330.0,1350.0,1325.0999755859375,1327.949951171875,1327.949951171875,806752
