Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.770000457763672,23.795000076293945,23.3799991607666,23.579999923706055,8.429376602172852,724800
2010-01-05,23.899999618530273,24.170000076293945,23.649999618530273,23.920000076293945,8.550917625427246,1556550
2010-01-06,24.190000534057617,24.649999618530273,24.100000381469727,24.3799991607666,8.715359687805176,1034000
2010-01-07,24.610000610351562,24.989999771118164,24.405000686645508,24.565000534057617,8.78149127960205,1360420
2010-01-08,24.790000915527344,25.100000381469727,24.604999542236328,24.760000228881836,8.851200103759766,1886220
2010-01-11,25.104999542236328,25.5,24.899999618530273,25.2549991607666,9.028152465820312,1511040
2010-01-12,25.399999618530273,25.450000762939453,24.5,24.635000228881836,8.806517601013184,1069490
2010-01-13,24.5,24.950000762939453,24.364999771118164,24.69499969482422,8.82796573638916,586300
2010-01-14,24.790000915527344,26.200000762939453,24.780000686645508,25.6200008392334,9.158634185791016,1504210
2010-01-15,25.975000381469727,26.549999237060547,25.600000381469727,26.21500015258789,9.37133502960205,3825820
2010-01-18,26.399999618530273,27.420000076293945,26.149999618530273,26.975000381469727,9.643017768859863,2692370
2010-01-19,27.200000762939453,28.799999237060547,26.5049991607666,26.709999084472656,9.548286437988281,3194980
2010-01-20,27.09000015258789,27.350000381469727,26.760000228881836,27.030000686645508,9.662681579589844,1716850
2010-01-21,26.700000762939453,27.579999923706055,26.700000762939453,26.834999084472656,9.592972755432129,2078600
2010-01-22,26.0,28.424999237060547,25.815000534057617,27.045000076293945,9.668041229248047,1751390
2010-01-25,27.0,27.094999313354492,25.809999465942383,26.139999389648438,9.344524383544922,555130
2010-01-27,25.9950008392334,26.110000610351562,25.399999618530273,25.600000381469727,9.151484489440918,1545270
2010-01-28,25.399999618530273,25.950000762939453,24.75,24.93000030517578,8.91197395324707,2106450
2010-01-29,24.0,25.8700008392334,24.0,25.53499984741211,9.12824821472168,1191400
2010-02-01,25.485000610351562,26.204999923706055,25.399999618530273,26.100000381469727,9.330223083496094,445910
