Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,12.0,12.0,12.0,12.0,12.0,0
2020-01-02,12.0,12.0,12.0,12.0,12.0,0
2020-01-03,12.0,12.0,12.0,12.0,12.0,0
2020-01-06,12.0,12.0,12.0,12.0,12.0,0
2020-01-07,12.0,12.0,12.0,12.0,12.0,300
2020-01-08,12.0,12.0,12.0,12.0,12.0,0
2020-01-09,12.0,12.0,12.0,12.0,12.0,0
2020-01-10,12.0,12.0,12.0,12.0,12.0,0
2020-01-13,12.0,12.0,12.0,12.0,12.0,0
2020-01-14,12.0,12.0,12.0,12.0,12.0,0
2020-01-15,12.0,12.0,12.0,12.0,12.0,0
2020-01-16,12.0,12.0,12.0,12.0,12.0,100
2020-01-17,12.0,12.0,12.0,12.0,12.0,0
2020-01-20,12.0,12.0,12.0,12.0,12.0,0
2020-01-21,12.0,12.0,12.0,12.0,12.0,0
2020-01-22,12.0,12.0,12.0,12.0,12.0,0
2020-01-23,12.0,12.0,12.0,12.0,12.0,0
2020-01-24,12.0,12.0,12.0,12.0,12.0,700
2020-01-27,12.0,12.0,12.0,12.0,12.0,100
2020-01-28,12.0,12.0,12.0,12.0,12.0,204
2020-01-29,12.0,12.0,12.0,12.0,12.0,195
2020-01-30,12.0,12.0,12.0,12.0,12.0,0
2020-01-31,12.0,12.0,12.0,12.0,12.0,0
2020-02-03,12.0,12.0,12.0,12.0,12.0,0
2020-02-04,12.0,12.0,12.0,12.0,12.0,0
2020-02-05,12.0,12.0,12.0,12.0,12.0,0
2020-02-06,12.0,12.0,12.0,12.0,12.0,0
2020-02-07,12.0,12.0,12.0,12.0,12.0,0
2020-02-10,12.0,12.0,12.0,12.0,12.0,0
2020-02-11,12.0,12.0,12.0,12.0,12.0,0
2020-02-12,12.0,12.0,12.0,12.0,12.0,0
2020-02-13,12.0,12.0,12.0,12.0,12.0,0
2020-02-14,12.0,12.0,12.0,12.0,12.0,0
2020-02-17,12.0,12.0,12.0,12.0,12.0,0
2020-02-18,12.0,12.0,12.0,12.0,12.0,0
2020-02-19,12.0,12.0,12.0,12.0,12.0,0
2020-02-20,12.0,12.0,12.0,12.0,12.0,0
2020-02-24,12.0,12.0,12.0,12.0,12.0,0
2020-02-25,12.0,12.0,12.0,12.0,12.0,0
2020-02-26,12.0,12.0,12.0,12.0,12.0,0
2020-02-27,12.0,12.0,12.0,12.0,12.0,0
2020-02-28,12.0,12.0,12.0,12.0,12.0,0
2020-03-02,12.0,12.0,12.0,12.0,12.0,0
2020-03-03,12.0,12.0,12.0,12.0,12.0,0
2020-03-04,12.0,12.0,12.0,12.0,12.0,0
2020-03-05,12.0,12.0,12.0,12.0,12.0,0
2020-03-06,12.0,12.0,12.0,12.0,12.0,0
2020-03-09,12.0,12.0,12.0,12.0,12.0,0
2020-03-11,12.0,12.0,12.0,12.0,12.0,0
2020-03-12,12.0,12.0,12.0,12.0,12.0,0
2020-03-13,12.0,12.0,12.0,12.0,12.0,0
2020-03-16,12.0,12.0,12.0,12.0,12.0,0
2020-03-17,12.0,12.0,12.0,12.0,12.0,0
2020-03-18,12.0,12.0,12.0,12.0,12.0,0
2020-03-19,12.0,12.0,12.0,12.0,12.0,0
2020-03-20,12.0,12.0,12.0,12.0,12.0,0
2020-03-23,12.0,12.0,12.0,12.0,12.0,0
2020-03-24,12.0,12.0,12.0,12.0,12.0,0
2020-03-25,12.0,12.0,12.0,12.0,12.0,0
2020-03-26,12.0,12.0,12.0,12.0,12.0,0
2020-03-27,12.0,12.0,12.0,12.0,12.0,0
2020-03-30,12.0,12.0,12.0,12.0,12.0,0
2020-03-31,12.0,12.0,12.0,12.0,12.0,0
2020-04-01,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,500
2020-04-03,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,0
2020-04-07,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,0
2020-04-08,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,0
2020-04-09,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,11.399999618530273,0
2020-04-13,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,100
2020-04-15,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-16,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-17,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-20,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-21,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-22,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-23,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-24,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-27,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-28,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-29,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-04-30,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-04,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-05,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-06,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-07,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-08,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-11,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-12,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-13,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-14,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-15,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-18,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-19,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-20,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-21,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-22,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-26,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-27,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-28,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-05-29,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-01,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-02,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-03,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-04,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-05,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-08,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-09,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-10,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-11,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-12,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-15,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-16,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-17,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-18,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-19,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-22,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,50
2020-06-23,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-24,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-25,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-26,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-29,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-06-30,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-07-01,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-07-02,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-07-03,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-07-06,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-07-07,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,11.199999809265137,0
2020-07-08,11.0,11.0,11.0,11.0,11.0,37
2020-07-09,11.0,11.0,11.0,11.0,11.0,600
2020-07-10,11.0,11.0,11.0,11.0,11.0,0
2020-07-13,11.0,11.0,11.0,11.0,11.0,0
2020-07-14,11.0,11.0,11.0,11.0,11.0,0
2020-07-15,11.0,11.0,11.0,11.0,11.0,0
2020-07-16,11.0,11.0,11.0,11.0,11.0,100
2020-07-17,11.0,11.0,11.0,11.0,11.0,0
