Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-04,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-05,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-06,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-07,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-08,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-11,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-12,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-13,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-14,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-15,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-18,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-19,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-20,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-21,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-22,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-25,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-27,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-28,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-01-29,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-01,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-02,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-03,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-04,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-05,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-08,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-09,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-10,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-11,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-12,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-15,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-16,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-17,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-18,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-19,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-22,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-23,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-24,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-25,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-02-26,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-01,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-02,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-03,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-04,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-05,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-08,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-09,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-10,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-12,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-15,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-16,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-17,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-18,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-19,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-22,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-23,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-24,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-25,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-26,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-30,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-03-31,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-01,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-05,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-06,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-07,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-08,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-09,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-12,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-13,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-15,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-16,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-19,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-20,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-22,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-23,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-26,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-27,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-28,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-29,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-04-30,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-03,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-04,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-05,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-06,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-07,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-10,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-11,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-12,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-14,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-17,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-18,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-19,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-20,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
2021-05-21,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,5.460000038146973,0
