Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,615.0,645.75,584.25,645.75,643.5829467773438,209580
2021-02-26,678.0,678.0,678.0,678.0,675.7246704101562,14409
2021-03-01,711.9000244140625,711.9000244140625,711.9000244140625,711.9000244140625,709.510986328125,10763
2021-03-02,747.4500122070312,747.4500122070312,676.3499755859375,676.3499755859375,674.0802001953125,73562
2021-03-03,642.5499877929688,642.5499877929688,642.5499877929688,642.5499877929688,640.3936767578125,13602
2021-03-04,610.4500122070312,674.0,610.4500122070312,658.9000244140625,656.6887817382812,81956
2021-03-05,635.0,655.0,626.0,626.0,623.8992309570312,68537
2021-03-08,626.0,626.0,594.7000122070312,604.4500122070312,602.4215698242188,41450
2021-03-09,599.0,634.6500244140625,577.0,634.5,632.3706665039062,73458
2021-03-10,646.0,646.0,624.0,631.5499877929688,629.4305419921875,15790
2021-03-12,635.0,640.0,602.2000122070312,604.9000244140625,602.8700561523438,40127
2021-03-15,610.0,610.0,555.5999755859375,577.5999755859375,575.66162109375,33508
2021-03-16,587.2999877929688,587.2999877929688,560.25,580.2999877929688,578.3525390625,27583
2021-03-17,592.0,599.0,578.0499877929688,587.8499755859375,585.877197265625,39652
2021-03-18,598.4000244140625,599.0,572.0,578.6500244140625,576.7081298828125,12114
2021-03-19,578.5999755859375,654.0,558.0999755859375,616.4000244140625,614.3314208984375,83141
2021-03-22,623.4000244140625,664.7000122070312,617.0,645.5499877929688,643.3836059570312,67190
2021-03-23,649.0,660.0,620.0,629.0499877929688,626.9389038085938,22625
2021-03-24,626.0,639.3499755859375,593.9500122070312,603.8499755859375,601.8235473632812,15498
2021-03-25,599.0,609.9000244140625,585.9500122070312,597.2000122070312,595.1958618164062,16278
2021-03-26,618.9500122070312,618.9500122070312,590.0,601.7000122070312,599.6807861328125,5684
2021-03-30,605.0,619.3499755859375,591.9000244140625,612.25,610.1953125,27762
2021-03-31,605.0,611.9500122070312,595.0999755859375,601.0499877929688,599.0328979492188,12690
2021-04-01,609.0999755859375,615.0,583.0,601.5,599.4814453125,10266
2021-04-05,615.0,689.9500122070312,602.0,674.4000244140625,672.1367797851562,149707
2021-04-06,680.9000244140625,738.7000122070312,650.0,693.5499877929688,691.2224731445312,139235
2021-04-07,693.0,714.7999877929688,666.9000244140625,680.0499877929688,677.7677612304688,38881
2021-04-08,683.0,717.3499755859375,683.0,707.1500244140625,704.7769165039062,49492
2021-04-09,714.0,848.5499877929688,700.7000122070312,848.5499877929688,845.7023315429688,180478
2021-04-12,890.0,933.4000244140625,856.5,931.5,928.3739624023438,297114
2021-04-13,954.0,974.7999877929688,880.7999877929688,902.25,899.22216796875,129445
2021-04-15,894.7999877929688,925.0,860.0,913.6500244140625,910.5838623046875,59927
2021-04-16,925.0,1005.0,925.0,1005.0,1001.6273193359375,67312
2021-04-19,1079.050048828125,1105.5,1050.0,1105.5,1101.7900390625,71719
2021-04-20,1160.75,1160.75,1160.75,1160.75,1156.8546142578125,72151
2021-04-22,1210.0,1218.75,1165.050048828125,1218.75,1214.6600341796875,38125
2021-04-23,1278.0,1279.6500244140625,1250.0,1279.6500244140625,1275.3555908203125,38156
2021-04-26,1343.5999755859375,1343.5999755859375,1343.5999755859375,1343.5999755859375,1339.0909423828125,2762
2021-04-27,1410.75,1410.75,1410.75,1410.75,1406.015625,2014
2021-04-28,1481.25,1481.25,1340.25,1340.25,1335.752197265625,77932
2021-04-29,1273.25,1273.25,1273.25,1273.25,1268.9771728515625,4609
2021-04-30,1209.5999755859375,1209.5999755859375,1209.5999755859375,1209.5999755859375,1205.5406494140625,3529
2021-05-03,1161.0999755859375,1270.050048828125,1149.1500244140625,1209.449951171875,1205.39111328125,240968
2021-05-04,1268.300048828125,1269.9000244140625,1232.199951171875,1269.9000244140625,1265.6383056640625,46092
2021-05-05,1314.699951171875,1333.3499755859375,1248.550048828125,1333.3499755859375,1328.8753662109375,68057
2021-05-06,1400.0,1400.0,1400.0,1400.0,1395.3016357421875,12212
2021-05-07,1470.0,1470.0,1470.0,1470.0,1465.0667724609375,7263
2021-05-10,1543.5,1543.5,1543.5,1543.5,1538.3201904296875,4461
2021-05-11,1619.0,1620.6500244140625,1466.3499755859375,1620.6500244140625,1615.211181640625,116671
2021-05-12,1701.6500244140625,1701.6500244140625,1636.9000244140625,1693.1500244140625,1687.468017578125,103972
2021-05-14,1719.949951171875,1770.0,1608.5,1611.0,1605.5936279296875,117968
2021-05-17,1590.0,1610.0,1530.449951171875,1530.449951171875,1525.31396484375,31093
2021-05-18,1476.0,1606.949951171875,1453.949951171875,1606.949951171875,1601.55712890625,99890
2021-05-19,1660.0,1669.0,1611.4000244140625,1623.300048828125,1617.8524169921875,52952
2021-05-20,1621.0,1655.0,1575.0,1587.25,1581.92333984375,20478
2021-05-21,1561.0,1625.0,1561.0,1582.25,1576.9400634765625,16816
2021-05-24,1610.0,1655.0,1586.9000244140625,1617.8499755859375,1612.4205322265625,45454
2021-05-25,1629.0,1635.0,1540.0,1574.949951171875,1569.6644287109375,29984
2021-05-26,1599.699951171875,1599.699951171875,1545.0,1562.3499755859375,1557.1068115234375,17612
2021-05-27,1570.0,1577.1500244140625,1501.0,1528.5999755859375,1523.4700927734375,19704
2021-05-28,1555.0,1555.0,1474.050048828125,1492.1500244140625,1487.1424560546875,31809
2021-05-31,1492.1500244140625,1566.75,1458.449951171875,1566.75,1561.4921875,83543
2021-06-01,1568.0,1580.0,1510.0,1532.300048828125,1527.15771484375,40281
2021-06-02,1521.0,1579.949951171875,1490.0,1510.699951171875,1505.630126953125,37153
2021-06-03,1538.5,1553.1500244140625,1480.5,1526.75,1521.6263427734375,15580
